award_id,vendor_name,description,award_amount,total_outlays,contract_award_type,start_date,end_date,awarding_agency,awarding_sub_agency,naics_code,psc_code,query_batch
N0002417C2100,ELECTRIC BOAT CORPORATION,SSN 802 AND 803 LONG LEAD TIME MATERIAL,34652672423.0,52471.0,DEFINITIVE CONTRACT,2017-02-14,2036-06-02,Department of Defense,Department of the Navy,,,psc_1905_combat_contracts
N0002417C2117,ELECTRIC BOAT CORPORATION,COLUMBIA CLASS DESIGN COMPLETION,24463811834.0,43723356.73,DEFINITIVE CONTRACT,2017-09-21,2031-12-31,Department of Defense,Department of the Navy,,,psc_1905_combat_contracts
N0002412C2115,ELECTRIC BOAT CORPORATION,SSN 792 LONG LEAD TIME MATERIAL,19888283376.0,107066.0,DEFINITIVE CONTRACT,2012-04-13,2025-12-23,Department of Defense,Department of the Navy,,,psc_1905_combat_contracts
N0002416C2116,HUNTINGTON INGALLS INC,CVN 80 ENGINEERING EFFORTS AND STEEL,11891378286.85,25985218.01,DEFINITIVE CONTRACT,2016-05-23,2036-06-02,Department of Defense,Department of the Navy,,,psc_1905_combat_contracts
N0002406C2222,HUNTINGTON INGALLS INCORPORATED,DETAIL DESIGN AND CONSTRUCTION OF LPD 17 CLASS SHIP (LPD 22),10029620274.96,0.0,DEFINITIVE CONTRACT,2006-06-01,2022-09-30,Department of Defense,Department of the Navy,,,kw_dd_and_c_contracts
N0002423C2307,HUNTINGTON INGALLS INCORPORATED,CONSTRUCTION OF DDG 51 SHIPS FY23-27,6947319039.83,,DEFINITIVE CONTRACT,2023-08-01,2034-02-28,Department of Defense,Department of the Navy,,,psc_1905_combat_contracts
N0002418C2307,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,6722004635.74,0.0,DEFINITIVE CONTRACT,2018-09-27,2032-07-09,Department of Defense,Department of the Navy,,,kw_ship_construction_contracts
N0002408C2110,HUNTINGTON INGALLS INC,CVN 78 SHIP CONSTRUCTION,6620467288.99,96474395.04,DEFINITIVE CONTRACT,2008-08-01,2022-09-30,Department of Defense,Department of the Navy,,,kw_ship_construction_contracts
N0002416C2229,NATIONAL STEEL AND SHIPBUILDING COMPANY,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,5822949520.64,276536691.62,DEFINITIVE CONTRACT,2016-06-30,2028-03-22,Department of Defense,Department of the Navy,,,kw_dd_and_c_contracts
N0002418C2305,BATH IRON WORKS CORPORATION,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,5338036969.86,0.0,DEFINITIVE CONTRACT,2018-09-27,2030-12-20,Department of Defense,Department of the Navy,,,kw_ship_construction_contracts
